playerId,name,position,team,birthDate,weight,height,nationality,shootsCatches,primaryNumber,primaryPosition
8478421,A.J. Greer,L,N.J,12/14/1996,210,"6' 3""",CAN,L,24,L
8477180,Aaron Dell,G,N.J,5/4/1989,205,"6' 0""",CAN,L,30,G
8465992,Aaron Downey,R,DET,8/27/1974,215,"6' 1""",CAN,R,44,R
8477932,Aaron Ekblad,D,FLA,2/7/1996,220,"6' 4""",CAN,R,5,D
8471451,Aaron Gagnon,C,WPG,4/24/1986,186,"5' 11""",CAN,R,21,C
8469534,Aaron Johnson,D,BOS,4/30/1983,204,"6' 1""",CAN,L,72,D
8471004,Aaron MacKenzie,D,COL,3/7/1981,195,"6' 1""",CAN,L,34,D
8474604,Aaron Ness,D,ARI,5/18/1990,184,"5' 10""",USA,L,55,D
8474030,Aaron Palushaj,R,CAR,9/7/1989,187,"6' 0""",USA,R,37,R
8470310,Aaron Rome,D,DAL,9/27/1983,220,"6' 1""",CAN,L,27,D
8475619,Aaron Volpatti,L,WSH,5/30/1985,215,"6' 0""",CAN,L,17,L
8469672,Aaron Voros,L,ANA,7/2/1981,210,"6' 2""",CAN,L,34,L
8458519,Aaron Ward,D,ANA,1/17/1973,209,"6' 2""",CAN,R,4,D
8475332,Adam Almquist,D,DET,2/27/1991,174,"5' 11""",SWE,L,53,D
8480871,Adam Boqvist,D,CHI,8/15/2000,179,"5' 11""",SWE,R,27,D
8478996,Adam Brooks,C,TOR,5/6/1996,185,"5' 10""",CAN,L,77,C
8470063,Adam Burish,R,S.J,1/6/1983,195,"6' 1""",USA,R,37,R
8476431,Adam Clendening,D,CBJ,10/26/1992,196,"6' 0""",USA,R,6,D
8471490,Adam Cracknell,R,ANA,,,,,,,
8477454,Adam Erne,L,DET,4/20/1995,214,"6' 1""",USA,L,73,L
8456283,Adam Foote,D,COL,7/10/1971,220,"6' 2""",CAN,R,52,D
8479323,Adam Fox,D,NYR,2/17/1998,181,"5' 11""",USA,R,23,D
8478874,Adam Gaudette,C,CHI,10/3/1996,170,"6' 1""",USA,R,88,C
8467925,Adam Hall,R,PHI,8/14/1980,212,"6' 2""",USA,R,18,R
8474641,Adam Henrique,C,ANA,2/6/1990,197,"6' 0""",CAN,L,14,C
8480341,Adam Johnson,C,PIT,6/22/1994,174,"6' 0""",USA,L,47,C
8476457,Adam Larsson,D,EDM,11/12/1992,208,"6' 3""",SWE,R,6,D
8476392,Adam Lowry,C,WPG,3/29/1993,210,"6' 5""",USA,L,17,C
8466216,Adam Mair,C,N.J,2/15/1979,208,"6' 1""",CAN,R,11,C
8471717,Adam McQuaid,D,CBJ,10/12/1986,210,"6' 4""",CAN,R,54,D
8471385,Adam Pardy,D,NSH,3/29/1984,227,"6' 4""",CAN,L,5,D
8476522,Adam Payerl,C,PIT,3/4/1991,218,"6' 3""",CAN,R,45,C
8476917,Adam Pelech,D,NYI,8/16/1994,218,"6' 3""",CAN,L,3,D
8480008,Adam Ruzicka,C,CGY,5/11/1999,202,"6' 4""",SVK,L,63,C
8479530,Adam Werner,G,COL,5/2/1997,205,"6' 5""",SWE,L,30,G
8476330,Adam Wilcox,G,BUF,11/26/1992,189,"6' 0""",USA,L,32,G
8478499,Adin Hill,G,ARI,5/11/1996,202,"6' 6""",CAN,L,31,G
8459053,Adrian Aucoin,D,CBJ,7/3/1973,215,"6' 2""",CAN,R,33,D
8477960,Adrian Kempe,C,L.A,9/13/1996,201,"6' 2""",SWE,L,9,C
8474049,Akim Aliu,R,CGY,4/24/1989,225,"6' 4""",NGA,R,29,R
8471219,Al Montoya,G,EDM,2/13/1985,200,"6' 2""",USA,L,35,G
8476409,Alan Quine,C,CGY,2/25/1993,203,"6' 0""",CAN,L,89,C
8474166,Alec Martinez,D,VGK,7/26/1987,209,"6' 1""",USA,L,27,D
8480831,Alec Regula,D,CHI,8/6/2000,208,"6' 4""",USA,R,75,D
